  * 1   Alaska - Aleutian Arc
     682        42 BAFFIN ISLAND REGION
     683        43 SOUTHEAST CENTRAL PACIFIC OCEAN
     684        43 EASTER ISLAND CORDILLERA
     685        43 EASTER ISLAND REGION
     686        43 WEST CHILE RISE
     687        43 JUAN FERNANDEZ ISLANDS REGION
     688        43 EAST OF NORTH ISLAND, N.Z.
     689        43 CHATHAM ISLANDS REGION
     690        43 SOUTH OF CHATHAM ISLANDS
     691        43 SOUTH PACIFIC CORDILLERA
     692        43 SOUTHERN PACIFIC OCEAN
     693        44 EAST CENTRAL PACIFIC OCEAN
     694        44 NORTHERN EASTER I. CORDILLERA
     695        44 WEST OF GALAPAGOS ISLANDS
     696        44 GALAPAGOS ISLANDS REGION
     697        44 GALAPAGOS ISLANDS
     698        44 SOUTHWEST OF GALAPAGOS ISLANDS
     699        44 SOUTHEAST OF GALAPAGOS ISLANDS
     700        45 SOUTH OF TASMANIA
     701        45 WEST OF MACQUARIE ISLAND
     702        45 BALLENY ISLANDS REGION
     703        46 ANDAMAN ISLANDS REGION
     704        46 NICOBAR ISLANDS REGION
     705        46 OFF W COAST OF NORTHERN SUMATERA
     706        46 NORTHERN SUMATERA
     707        46 MALAY PENINSULA
     708        46 GULF OF THAILAND
     709        47 AFGHANISTAN
     710        47 PAKISTAN
     711        47 SOUTHWESTERN KASHMIR
     712        47 INDIA-PAKISTAN BORDER REG.
     713        48 CENTRAL KAZAKH SSR
     714        48 SOUTHEASTERN UZBEK SSR
     715        48 TAJIK SSR
     716        48 KIRGHIZ SSR
     717        48 AFGHANISTAN-USSR BORDER REGION
     718        48 HINDU KUSH REGION
     719        48 TAJIK-XINJIANG BORDER REGION
     720        48 NORTHWESTERN KASHMIR
     721        49 FINLAND
     722        49 NORWAY-USSR BORDER REGION
     723        49 FINLAND-USSR BORDER REGION
     724        49 EUROPEAN USSR
     725        49 WESTERN SIBERIA
     726        49 CENTRAL SIBERIA
     727        50 VICTORIA LAND, ANTARCTICA
     728        50 ROSS SEA
     729        50 ANTARCTICA
